HD	RA	DEG	Bayer	Cst
13421	32.8381667	8.5700833	     	Cet
13468	32.8993333	-1.8253611	     	Cet
13474	33.62125	66.5244444	     	Cas
13480	33.093	30.3032222	     	Tri
13520	33.3055833	44.2316944	b    	And
13530	33.4000833	51.0662222	     	Per
13555	33.1999167	21.2109722	eta  	Ari
13596	33.2635417	15.2799167	     	Ari
13611	33.2500417	8.84675	ksi01	Cet
13612	33.1971667	-2.3934722	     	Cet
13709	33.2269167	-30.7238333	mu.  	For
13869	33.9845833	33.3589722	     	Tri
13871	33.9414167	25.7831111	     	Ari
13872	33.9284583	25.04325	     	Ari
13974	34.2600833	34.2248333	del  	Tri
13982	34.49925	57.8998056	     	Per
13994	34.5191667	57.5163333	chi  	Per
14055	34.3285	33.8473333	gam  	Tri
14129	34.2457917	-6.4218611	     	Cet
14141	33.5604167	-67.8415556	pi.01	Hyi
14191	34.5314583	19.9011667	the  	Ari
14212	34.8202083	47.38	c    	And
14228	34.1270833	-51.5121111	phi  	Eri
14252	34.7374583	28.6426667	     	Tri
14287	33.869	-67.7463333	pi.02	Hyi
14386	34.836625	-2.9770556	omi  	Cet
14392	35.242375	50.1515278	     	And
14489	35.5892917	55.8456667	i    	Per
14652	35.486	0.3956944	     	Cet
14690	35.5517083	-0.88475	     	Cet
14770	36.1037083	50.0066389	     	And
14802	35.6350833	-23.8163056	kap  	For
14818	36.3167917	56.6098333	     	Per
14872	36.4058333	50.2786667	     	And
14951	36.2043333	10.6106111	ksi  	Ari
15004	36.2432917	-2.7800278	     	Cet
15008	35.4375833	-68.6594167	del  	Hyi
15089	37.266625	67.4023889	iot  	Cas
15130	36.4875417	-12.2904444	rho  	Cet
15138	36.965625	50.5701944	     	And
15176	36.8657917	31.8013611	     	Tri
15228	36.8481667	10.1988056	     	Ari
15233	36.2249583	-60.3116389	lam  	Hor
15248	35.718625	-73.6458333	kap  	Hyi
15257	37.041625	29.6695278	     	Tri
15318	37.0396667	8.4600833	ksi02	Cet
15335	37.20225	29.9315833	     	Tri
15371	36.74625	-47.7038333	kap  	Eri
15427	37.0070417	-33.8110556	phi  	For
15550	37.659875	19.8553889	     	Ari
15596	37.7265833	17.7040556	     	Ari
15656	38.0255833	36.1472222	     	Tri
15779	38.0393333	-1.0348056	     	Cet
15798	38.022	-15.2443333	sig  	Cet
15814	38.225625	15.0344722	     	Ari
15975	38.2793333	-34.6499167	lam01	For
16046	38.4612917	-28.2323333	ome  	For
16058	38.945	34.6876944	     	Tri
16074	38.6774583	-7.8592778	     	Cet
16141	38.8334167	-3.5595278	     	Cet
16161	38.9687083	5.5933056	nu.  	Cet
16212	39.0002917	-7.8314444	     	Cet
16232	39.2405833	24.6480556	     	Ari
16234	39.1572917	12.4478333	     	Ari
16246	39.2518333	24.64725	     	Ari
16307	39.0386667	-30.0449722	iot01	For
16400	39.4240833	-3.3960556	     	Cet
16417	39.24425	-34.5773333	lam02	For
16432	39.7041667	21.9614444	nu.  	Ari
16522	37.9171667	-79.10925	mu.  	Hyi
16538	39.5775	-30.1938889	iot02	For
16555	39.3510833	-52.5430833	eta  	Hor
16582	39.870625	0.3285278	del  	Cet
16620	39.8905417	-11.8715833	eps  	Cet
16628	40.1709583	27.061	     	Ari
16727	40.7616667	55.1060833	     	Per
16739	40.5622083	40.1943889	     	Per
16754	39.9496667	-42.8916389	s    	Eri
16765	40.3077917	-0.6953611	     	Cet
16811	40.5913333	20.0115833	mu.  	Ari
16815	40.166375	-39.8553056	iot  	Eri
16861	40.620625	10.7417778	     	Cet
16895	41.0487083	49.2286667	the  	Per
16901	41.0215	44.2970556	     	Per
16908	40.8629583	27.7071667	     	Ari
16920	40.1649167	-54.5499167	zet  	Hor
16970	40.8255	3.2361667	gam  	Cet
16978	39.89675	-68.2669444	eps  	Hyi
17017	41.0795417	17.7640278	     	Ari
17036	41.137375	15.3118889	omi  	Ari
17051	40.6381667	-50.8008333	iot  	Hor
17081	41.030625	-13.8586667	pi.  	Cet
17093	41.239625	12.4459722	     	Ari
17094	41.234875	10.1142222	mu.  	Cet
17138	42.2312917	69.6341944	RZ   	Cas
17206	41.2749167	-18.5726389	tau01	Eri
17361	41.9768333	29.2474167	     	Ari
17459	42.1335833	18.2838611	     	Ari
17463	42.9947917	68.8885278	SU   	Cas
17504	41.364375	-63.7045278	gam  	Hor
17506	42.674125	55.8955278	eta  	Per
17528	41.89075	-35.5505278	eta01	For
17543	42.3231667	17.4643333	pi.  	Ari
17566	41.3855417	-67.6167222	zet  	Hyi
17573	42.4957917	27.2607778	c    	Ari
17584	42.6454583	38.3189167	     	Per
17652	42.2723333	-32.4062778	bet  	For
17709	42.8784583	35.0598889	     	Per
17713	42.4624583	-24.56	gam01	For
17729	42.475625	-27.9420278	gam02	For
17769	42.8732083	15.0821389	sig  	Ari
17793	42.5614583	-35.8436944	eta02	For
17824	42.7597917	-21.0039722	tau02	Eri
17829	42.6683333	-35.6757222	eta03	For
17848	42.2557083	-62.8065833	nu.  	Hor
17878	43.5644167	52.7625	tau  	Per
17879	43.5866667	52.7583333	tau  	Per
17904	43.4274167	38.3376667	     	Per
18091	43.7299167	17.7347222	rho01	Ari
18149	43.393125	-38.4370833	psi  	For
18191	43.9520833	18.3316667	     	Ari
18256	44.10825	18.0236389	rho  	Ari
18293	42.6189167	-75.0668889	nu.  	Hyi
18296	44.322	31.9343056	     	Per
18322	44.1066667	-8.8976111	eta  	Eri
18404	44.5211667	20.6688056	     	Ari
18411	44.6902083	39.6628333	pi.  	Per
18449	44.7654583	35.1831111	     	Per
18454	44.34875	-23.8620833	     	Eri
18519	44.8030417	21.3404444	eps  	Ari
18520	44.8029167	21.3402778	eps  	Ari
18535	44.5237083	-23.6061389	     	Eri
18604	44.92875	8.9073889	lam  	Cet
18622	44.5655	-40.3047222	the01	Eri
18623	44.5679167	-40.3044444	the02	Eri
18633	44.9215	-2.4648889	     	Eri
18692	44.9002917	-25.2743333	zet  	For
18760	45.212	-2.8786389	     	Eri
18769	45.475625	26.4623333	     	Ari
18784	45.2915417	-7.6628333	rho01	Eri
18803	45.6077917	26.6096389	     	Ari
18866	44.6990417	-64.0713056	bet  	Hor
18883	45.5937917	4.3528611	     	Cet
18884	45.5699167	4.0899167	alf  	Cet
18907	45.4060417	-28.0904722	eps  	For
18925	46.199125	53.5064444	gam  	Per
18926	46.18375	53.5194444	gam  	Per
18953	45.6760833	-7.6854722	rho02	Eri
18970	46.385125	56.7055556	k    	Per
18978	45.5982917	-23.6243333	tau03	Eri
19058	46.29375	38.8405278	rho  	Per
19107	46.0686667	-7.6008889	rho03	Eri
19134	46.3612083	25.2551944	     	Ari
19135	46.36125	25.2552778	     	Ari
19319	45.90375	-59.7376111	mu.  	Hor
19356	47.0422083	40.9556389	bet  	Per
19373	47.262	49.6135	iot  	Per
19374	46.8570417	17.8799722	     	Ari
19400	45.5641667	-71.9025	the  	Hyi
19460	47.087875	18.7950833	     	Ari
19476	47.3734583	44.8578889	kap  	Per
19548	47.4030417	29.0771111	     	Ari
19656	47.8225	39.6115833	ome  	Per
19787	47.9069583	19.7266944	del  	Ari
19832	48.0593333	27.257	     	Ari
19926	48.109875	6.6608889	g    	Tau
19994	48.193	-1.1959444	     	Cet
20010	48.0178333	-28.9891111	alf  	For
20150	48.7254583	21.0446389	zet  	Ari
20315	49.4472083	44.0250833	     	Per
20320	48.9584583	-8.8198333	zet  	Eri
20365	49.6571667	50.2222222	     	Per
20395	49.1490417	-9.15475	     	Eri
20418	49.78175	50.0950278	     	Per
20559	49.5928333	-0.9301389	     	Cet
20610	49.5920833	-22.5111389	     	Eri
20618	49.9825417	27.0713056	     	Ari
20630	49.83975	3.3699722	kap  	Cet
20663	50.1065417	25.6629722	     	Ari
20677	50.360875	43.3296389	l    	Per
20720	49.8790417	-21.7579444	tau04	Eri
20756	50.3067083	21.1471389	tau  	Ari
20766	49.4352917	-62.5768889	zet01	Ret
20791	50.2782083	3.6756944	     	Cet
20794	49.97175	-43.0715556	e    	Eri
20807	49.5464167	-62.5079444	zet02	Ret
20825	50.5495417	27.6075833	     	Ari
20893	50.688625	20.7421111	     	Ari
20902	51.080625	49.86125	alf  	Per
21017	51.0769167	24.7241944	     	Ari
21024	48.989	-77.3886111	iot  	Hyi
21050	51.1087917	20.8035	     	Ari
21120	51.2035	9.0290556	omi  	Tau
21364	51.7921667	9.7327778	ksi  	Tau
21423	51.4825833	-35.9208611	chi01	For
21428	52.3417917	49.5090278	     	Per
21467	52.1107083	22.8042778	     	Ari
21552	52.6436667	47.9951667	sig  	Per
